----------------------------------------------------------------------------------------------------
Execution: 0
Generation 59 | Average Generation Fitness: 0.0033674660855669155 | Best Fitness: 0.008308580727092035 | Population Length: 20| Best DNA: 'αιο αλεξανδρος ουδις αιο'
Generation 60 | Average Generation Fitness: 0.0031526563357588203 | Best Fitness: 0.008969136261316901 | Population Length: 20| Best DNA: 'κακως αλεξανδρος ουδις κακως'
------------------------------------------------
Total Generations: 60
Total Population: 20   ---   Mutation Rate: 0.1  ---  Crossover Probability: 0.6
Average Fitness: 0.0031526563357588203  ---  Best Overall Fitness: 0.01684464328212559
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004720022240905703 | Best Fitness: 0.01028589418202718 | Population Length: 20| Best DNA: 'την αλεξανδρος ουδις την'
Generation 2 | Average Generation Fitness: 0.004307070957690589 | Best Fitness: 0.010559275776005754 | Population Length: 20| Best DNA: 'την αλεξανδρος ουδις την'
Generation 3 | Average Generation Fitness: 0.0033249159977926076 | Best Fitness: 0.0046071448367125305 | Population Length: 20| Best DNA: 'σαυροματης αλεξανδρος ουδις σαυροματης'
Generation 4 | Average Generation Fitness: 0.0036417054619852394 | Best Fitness: 0.007387297583617345 | Population Length: 20| Best DNA: 'αγαθ αλεξανδρος ουδις αγαθ'
Generation 5 | Average Generation Fitness: 0.0033658066595677882 | Best Fitness: 0.006276060940187997 | Population Length: 20| Best DNA: 'σκηπτουχοι αλεξανδρος ουδις σκηπτουχοι'
Generation 6 | Average Generation Fitness: 0.0031434117900772966 | Best Fitness: 0.006038562844227708 | Population Length: 20| Best DNA: 'χοφρασμου αλεξανδρος ουδις χοφρασμου'
Generation 7 | Average Generation Fitness: 0.003332535012679619 | Best Fitness: 0.004675082375707506 | Population Length: 20| Best DNA: 'γυναικαν αλεξανδρος ουδις γυναικαν'
Generation 8 | Average Generation Fitness: 0.0033525692430406706 | Best Fitness: 0.005404968393089863 | Population Length: 20| Best DNA: 'χαιρειν αλεξανδρος ουδις χαιρειν'
Generation 9 | Average Generation Fitness: 0.003202322533431755 | Best Fitness: 0.00415977230565619 | Population Length: 20| Best DNA: 'οικουντας αλεξανδρος ουδις οικουντας'
Generation 10 | Average Generation Fitness: 0.0036142556923664665 | Best Fitness: 0.012730457975202657 | Population Length: 20| Best DNA: 'του αλεξανδρος ουδις του'
Generation 11 | Average Generation Fitness: 0.0028307235277636464 | Best Fitness: 0.0039034082809170623 | Population Length: 20| Best DNA: 'χοφρασμου αλεξανδρος ουδις χοφρασμου'
Generation 12 | Average Generation Fitness: 0.0033634538478459408 | Best Fitness: 0.007902935595848716 | Population Length: 20| Best DNA: 'βασιλευοντος αλεξανδρος ουδις βασιλευοντος'
Generation 13 | Average Generation Fitness: 0.003069394588579145 | Best Fitness: 0.006546939982992108 | Population Length: 20| Best DNA: 'ημ αλεξανδρος ουδις ημ'
Generation 14 | Average Generation Fitness: 0.002817901428556772 | Best Fitness: 0.004675082375707506 | Population Length: 20| Best DNA: 'απαντησαντων αλεξανδρος ουδις απαντησαντων'
