----------------------------------------------------------------------------------------------------
Execution: 0
Generation 1 | Average Generation Fitness: 0.00445214594856843 | Best Fitness: 0.010552380001625764 | Population Length: 200| Best DNA: 'γα αλεξανδρος ουδις γα'
Generation 2 | Average Generation Fitness: 0.0038265514325214293 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'ζητησαντος αλεξανδρος ουδις ζητησαντος'
Generation 3 | Average Generation Fitness: 0.0034560984574954173 | Best Fitness: 0.0051047185658517355 | Population Length: 200| Best DNA: 'χοφαρνου αλεξανδρος ουδις χοφαρνου'
Generation 4 | Average Generation Fitness: 0.003293475371942509 | Best Fitness: 0.005396171512553644 | Population Length: 200| Best DNA: 'τ αλεξανδρος ουδις τ'
Generation 5 | Average Generation Fitness: 0.0032541042219163523 | Best Fitness: 0.003927021506195175 | Population Length: 200| Best DNA: 'νεοπολου αλεξανδρος ουδις νεοπολου'
Generation 6 | Average Generation Fitness: 0.003251253161239452 | Best Fitness: 0.0033351331243596572 | Population Length: 200| Best DNA: 'ζητησαντος αλεξανδρος ουδις ζητησαντος'
Generation 7 | Average Generation Fitness: 0.003228829674083028 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'διαλυσαι αλεξανδρος ουδις διαλυσαι'
Generation 8 | Average Generation Fitness: 0.003250887074491129 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 9 | Average Generation Fitness: 0.003228829674083028 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ολιγους αλεξανδρος ουδις ολιγους'
Generation 10 | Average Generation Fitness: 0.0032141247404776268 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'επαγγελλοντων αλεξανδρος ουδις επαγγελλοντων'
Generation 11 | Average Generation Fitness: 0.0032435346076884284 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'απελυσε αλεξανδρος ουδις απελυσε'
Generation 12 | Average Generation Fitness: 0.003225153440681678 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'απελυσε αλεξανδρος ουδις απελυσε'
Generation 13 | Average Generation Fitness: 0.003221477207280327 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'δαπανην αλεξανδρος ουδις δαπανην'
Generation 14 | Average Generation Fitness: 0.0032141247404776268 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'εως αλεξανδρος ουδις εως'
Generation 15 | Average Generation Fitness: 0.0031957435734708754 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σχοινιαιας αλεξανδρος ουδις σχοινιαιας'
Generation 16 | Average Generation Fitness: 0.003203096040273577 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'παρεσκεασμενων αλεξανδρος ουδις παρεσκεασμενων'
Generation 17 | Average Generation Fitness: 0.0031883911066681756 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κηρυκα αλεξανδρος ουδις κηρυκα'
Generation 18 | Average Generation Fitness: 0.003155305006056022 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'ωνης αλεξανδρος ουδις ωνης'
Generation 19 | Average Generation Fitness: 0.0031185426720425195 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σχοινιαιας αλεξανδρος ουδις σχοινιαιας'
Generation 20 | Average Generation Fitness: 0.003089132804831719 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'αμα αλεξανδρος ουδις αμα'
