----------------------------------------------------------------------------------------------------
Execution: 0
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004311181305635989 | Best Fitness: 0.008730922648442562 | Population Length: 20| Best DNA: 'φλαουιου αλεξανδρος ουδις φλαουιου'
Generation 2 | Average Generation Fitness: 0.003324653129435644 | Best Fitness: 0.004037740146848083 | Population Length: 20| Best DNA: 'θεραπειαν αλεξανδρος ουδις θεραπειαν'
Generation 3 | Average Generation Fitness: 0.0032386791031852173 | Best Fitness: 0.0037593462348696886 | Population Length: 20| Best DNA: 'φιλιππος αλεξανδρος ουδις φιλιππος'
Generation 4 | Average Generation Fitness: 0.0031521737231542646 | Best Fitness: 0.003510631004782436 | Population Length: 20| Best DNA: 'ηροιδας αλεξανδρος ουδις ηροιδας'
Generation 5 | Average Generation Fitness: 0.003004579436600671 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 6 | Average Generation Fitness: 0.0033655542254754298 | Best Fitness: 0.010481411552190375 | Population Length: 20| Best DNA: 'τας αλεξανδρος ουδις τας'
Generation 7 | Average Generation Fitness: 0.002857530100546662 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 8 | Average Generation Fitness: 0.0026737184304791513 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'σχοινιαιας αλεξανδρος ουδις σχοινιαιας'
Generation 9 | Average Generation Fitness: 0.0026737184304791517 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 10 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 11 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 12 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 13 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 26 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 29 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 31 | Average Generation Fitness: 0.002567092295921869 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'παραγενομενου αλεξανδρος ουδις παραγενομενου'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 35 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'τουτωι αλεξανδρος ουδις τουτωι'
Generation 36 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'προδηλου αλεξανδρος ουδις προδηλου'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 42 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αυτα αλεξανδρος ουδις αυτα'
