----------------------------------------------------------------------------------------------------
Execution: 0
Generation 17 | Average Generation Fitness: 0.0032136701541487433 | Best Fitness: 0.005076758212106644 | Population Length: 200| Best DNA: 'ταναειτων αλεξανδρος ουδις ταναειτων'
Generation 18 | Average Generation Fitness: 0.0032579201767131117 | Best Fitness: 0.00851603362047488 | Population Length: 200| Best DNA: 'ηδυν αλεξανδρος ουδις ηδυν'
Generation 19 | Average Generation Fitness: 0.0032256768110352535 | Best Fitness: 0.008470610868368226 | Population Length: 200| Best DNA: 'δυναμιν αλεξανδρος ουδις δυναμιν'
Generation 20 | Average Generation Fitness: 0.0031401789202901015 | Best Fitness: 0.004739999115625491 | Population Length: 200| Best DNA: 'τειχ αλεξανδρος ουδις τειχ'
Generation 21 | Average Generation Fitness: 0.003185437110715754 | Best Fitness: 0.007639063153200701 | Population Length: 200| Best DNA: 'χρηστη αλεξανδρος ουδις χρηστη'
Generation 22 | Average Generation Fitness: 0.003168948368835954 | Best Fitness: 0.011942702721612037 | Population Length: 200| Best DNA: 'συριηι αλεξανδρος ουδις συριηι'
Generation 23 | Average Generation Fitness: 0.003070751637824968 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 24 | Average Generation Fitness: 0.0030026391662600215 | Best Fitness: 0.006573688863702803 | Population Length: 200| Best DNA: 'οφθαλμων αλεξανδρος ουδις οφθαλμων'
Generation 25 | Average Generation Fitness: 0.002991399326194519 | Best Fitness: 0.008044742473321724 | Population Length: 200| Best DNA: 'κηρυκα αλεξανδρος ουδις κηρυκα'
Generation 26 | Average Generation Fitness: 0.0028391489335399017 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'μερους αλεξανδρος ουδις μερους'
Generation 27 | Average Generation Fitness: 0.0027392131431155315 | Best Fitness: 0.007619824747161157 | Population Length: 200| Best DNA: 'τριακοσιους αλεξανδρος ουδις τριακοσιους'
Generation 28 | Average Generation Fitness: 0.0026320713963875813 | Best Fitness: 0.007400172698167736 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 29 | Average Generation Fitness: 0.0025498064199006736 | Best Fitness: 0.0071541341895340034 | Population Length: 200| Best DNA: 'κα αλεξανδρος ουδις κα'
Generation 30 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 31 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 32 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πεντε αλεξανδρος ουδις πεντε'
Generation 33 | Average Generation Fitness: 0.0025403590665766754 | Best Fitness: 0.004309764795470904 | Population Length: 200| Best DNA: 'φαιδιμος αλεξανδρος ουδις φαιδιμος'
Generation 34 | Average Generation Fitness: 0.0025303453278264798 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'κονωνος αλεξανδρος ουδις κονωνος'
Generation 35 | Average Generation Fitness: 0.0025654967170251346 | Best Fitness: 0.01029219361442617 | Population Length: 200| Best DNA: 'πολει αλεξανδρος ουδις πολει'
Generation 36 | Average Generation Fitness: 0.002541106716197508 | Best Fitness: 0.005414193448900881 | Population Length: 200| Best DNA: 'θεοδωρου αλεξανδρος ουδις θεοδωρου'
Generation 37 | Average Generation Fitness: 0.0025596463011346915 | Best Fitness: 0.006124642769053839 | Population Length: 200| Best DNA: 'σιτον αλεξανδρος ουδις σιτον'
Generation 38 | Average Generation Fitness: 0.0025726894564760865 | Best Fitness: 0.010922277474682126 | Population Length: 200| Best DNA: 'της αλεξανδρος ουδις της'
Generation 39 | Average Generation Fitness: 0.002530711414574802 | Best Fitness: 0.0033351331243596572 | Population Length: 200| Best DNA: 'χαλκον αλεξανδρος ουδις χαλκον'
