----------------------------------------------------------------------------------------------------
Execution: 0
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.1
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.010981533273204787
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004126198557508682 | Best Fitness: 0.0065224095690767725 | Population Length: 20| Best DNA: 'καραστου αλεξανδρος ουδις καραστου'
Generation 2 | Average Generation Fitness: 0.003393612871509302 | Best Fitness: 0.006086439242699173 | Population Length: 20| Best DNA: 'κατεσκευασε αλεξανδρος ουδις κατεσκευασε'
Generation 3 | Average Generation Fitness: 0.00322433312086772 | Best Fitness: 0.0039034082809170623 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 4 | Average Generation Fitness: 0.0035772291384441276 | Best Fitness: 0.006983826441562711 | Population Length: 20| Best DNA: 'οσον αλεξανδρος ουδις οσον'
Generation 5 | Average Generation Fitness: 0.0031589505076211263 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'εκομισατο αλεξανδρος ουδις εκομισατο'
Generation 6 | Average Generation Fitness: 0.003151628772654679 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'τουτου αλεξανδρος ουδις τουτου'
Generation 7 | Average Generation Fitness: 0.0030413417706141727 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 8 | Average Generation Fitness: 0.0029678171025871686 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 9 | Average Generation Fitness: 0.002857530100546662 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 10 | Average Generation Fitness: 0.0031618450052487133 | Best Fitness: 0.011553953909546342 | Population Length: 20| Best DNA: 'ηρως αλεξανδρος ουδις ηρως'
Generation 11 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 12 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 13 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 14 | Average Generation Fitness: 0.0026673450450642607 | Best Fitness: 0.005340188107207497 | Population Length: 20| Best DNA: 'αυρηλιου αλεξανδρος ουδις αυρηλιου'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 16 | Average Generation Fitness: 0.0025919638189305936 | Best Fitness: 0.003832563584534162 | Population Length: 20| Best DNA: 'βοισκου αλεξανδρος ουδις βοισκου'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'οργην αλεξανδρος ουδις οργην'
