----------------------------------------------------------------------------------------------------
Execution: 0
Generation 60 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 61 | Average Generation Fitness: 0.0025427654492523473 | Best Fitness: 0.0057459400598687226 | Population Length: 200| Best DNA: 'ιδιων αλεξανδρος ουδις ιδιων'
Generation 62 | Average Generation Fitness: 0.002566798182372709 | Best Fitness: 0.005450906747860405 | Population Length: 200| Best DNA: 'κοτυν αλεξανδρος ουδις κοτυν'
Generation 63 | Average Generation Fitness: 0.0025553374417661796 | Best Fitness: 0.00463621384473846 | Population Length: 200| Best DNA: 'απεκατεστησα αλεξανδρος ουδις απεκατεστησα'
Generation 64 | Average Generation Fitness: 0.0025590386435832835 | Best Fitness: 0.007234363638962814 | Population Length: 200| Best DNA: 'μνημης αλεξανδρος ουδις μνημης'
Generation 65 | Average Generation Fitness: 0.0025515169360821027 | Best Fitness: 0.006760990745549697 | Population Length: 200| Best DNA: 'αλωτον αλεξανδρος ουδις αλωτον'
Generation 66 | Average Generation Fitness: 0.0025303453278264798 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
Generation 67 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 68 | Average Generation Fitness: 0.0025744867310975627 | Best Fitness: 0.008222998497205673 | Population Length: 200| Best DNA: 'αγαθη αλεξανδρος ουδις αγαθη'
Generation 69 | Average Generation Fitness: 0.002530711414574802 | Best Fitness: 0.0033351331243596572 | Population Length: 200| Best DNA: 'αρχοντας αλεξανδρος ουδις αρχοντας'
Generation 70 | Average Generation Fitness: 0.0025303453278264798 | Best Fitness: 0.003261915774695184 | Population Length: 200| Best DNA: 'σκιρους αλεξανδρος ουδις σκιρους'
