----------------------------------------------------------------------------------------------------
Execution: 0
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αρχης αλεξανδρος ουδις αρχης'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.0  ---  Crossover Probability: 0.6
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.006638992285503545
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.004847747365600069 | Best Fitness: 0.007227731837808069 | Population Length: 20| Best DNA: 'φιλοπατριν αλεξανδρος ουδις φιλοπατριν'
Generation 2 | Average Generation Fitness: 0.00409225765466255 | Best Fitness: 0.0057462461758508495 | Population Length: 20| Best DNA: 'ηδυν αλεξανδρος ουδις ηδυν'
Generation 3 | Average Generation Fitness: 0.0035394602000989816 | Best Fitness: 0.0051707775277359145 | Population Length: 20| Best DNA: 'καταπλεοντας αλεξανδρος ουδις καταπλεοντας'
Generation 4 | Average Generation Fitness: 0.003234504552741804 | Best Fitness: 0.0043144713498138336 | Population Length: 20| Best DNA: 'διοτι αλεξανδρος ουδις διοτι'
Generation 5 | Average Generation Fitness: 0.0031388297530947963 | Best Fitness: 0.003510631004782436 | Population Length: 20| Best DNA: 'ρουφος αλεξανδρος ουδις ρουφος'
Generation 6 | Average Generation Fitness: 0.0029052750370098354 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'συντελεσασθαι αλεξανδρος ουδις συντελεσασθαι'
Generation 7 | Average Generation Fitness: 0.00293471563605689 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'διακειμενων αλεξανδρος ουδις διακειμενων'
