----------------------------------------------------------------------------------------------------
Execution: 0
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 48 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'αναζευξιν αλεξανδρος ουδις αναζευξιν'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.9
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.008177889124428973
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 1
Generation 1 | Average Generation Fitness: 0.004496059176996909 | Best Fitness: 0.007093455567531912 | Population Length: 20| Best DNA: 'εκομισατο αλεξανδρος ουδις εκομισατο'
Generation 2 | Average Generation Fitness: 0.003930075050260408 | Best Fitness: 0.005264889917272948 | Population Length: 20| Best DNA: 'δημωι αλεξανδρος ουδις δημωι'
Generation 3 | Average Generation Fitness: 0.003383640875809106 | Best Fitness: 0.004271907803919459 | Population Length: 20| Best DNA: 'πασαν αλεξανδρος ουδις πασαν'
Generation 4 | Average Generation Fitness: 0.003202539410856413 | Best Fitness: 0.003628002523017552 | Population Length: 20| Best DNA: 'χρυσων αλεξανδρος ουδις χρυσων'
Generation 5 | Average Generation Fitness: 0.003205458143446374 | Best Fitness: 0.003481567823688605 | Population Length: 20| Best DNA: 'χρυσων αλεξανδρος ουδις χρυσων'
Generation 6 | Average Generation Fitness: 0.00326203099549984 | Best Fitness: 0.004587221607520298 | Population Length: 20| Best DNA: 'δημου αλεξανδρος ουδις δημου'
Generation 7 | Average Generation Fitness: 0.00317034615288124 | Best Fitness: 0.003481567823688605 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 8 | Average Generation Fitness: 0.003016335262447271 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 9 | Average Generation Fitness: 0.003355572587858942 | Best Fitness: 0.006904561164418934 | Population Length: 20| Best DNA: 'λυσασθαι αλεξανδρος ουδις λυσασθαι'
Generation 10 | Average Generation Fitness: 0.003041188111432907 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'υπαρχοντων αλεξανδρος ουδις υπαρχοντων'
Generation 11 | Average Generation Fitness: 0.0028354112364660546 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 12 | Average Generation Fitness: 0.0027913271674861054 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 13 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'κονωνος αλεξανδρος ουδις κονωνος'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 15 | Average Generation Fitness: 0.002586849792392679 | Best Fitness: 0.003730283053775857 | Population Length: 20| Best DNA: 'ουδενα αλεξανδρος ουδις ουδενα'
Generation 16 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 17 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 18 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 19 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 20 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 21 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 22 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 23 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 24 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 25 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 26 | Average Generation Fitness: 0.002563431428438645 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'αληθειας αλεξανδρος ουδις αληθειας'
Generation 27 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 28 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 29 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 30 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 31 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 32 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 33 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 34 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 35 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 36 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 37 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 38 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 39 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 40 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 41 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 42 | Average Generation Fitness: 0.0026524599115778083 | Best Fitness: 0.005042485437478454 | Population Length: 20| Best DNA: 'κοινης αλεξανδρος ουδις κοινης'
Generation 43 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 44 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 45 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 46 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 47 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 48 | Average Generation Fitness: 0.00283895078619025 | Best Fitness: 0.008772302929727282 | Population Length: 20| Best DNA: 'θεοφιλος αλεξανδρος ουδις θεοφιλος'
Generation 49 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
Generation 50 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'τοτ αλεξανδρος ουδις τοτ'
------------------------------------------------
Total Generations: 50
Total Population: 20   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.9
Average Fitness: 0.0025266690944251427  ---  Best Overall Fitness: 0.008772302929727282
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 1 | Average Generation Fitness: 0.005046801151143687 | Best Fitness: 0.00789797088792252 | Population Length: 20| Best DNA: 'σπαρτοκου αλεξανδρος ουδις σπαρτοκου'
Generation 2 | Average Generation Fitness: 0.003981914856850736 | Best Fitness: 0.006476279222661049 | Population Length: 20| Best DNA: 'ζαλσιν αλεξανδρος ουδις ζαλσιν'
Generation 3 | Average Generation Fitness: 0.003492585449395403 | Best Fitness: 0.005063112621648727 | Population Length: 20| Best DNA: 'φρυγιαι αλεξανδρος ουδις φρυγιαι'
Generation 4 | Average Generation Fitness: 0.0032066954440842996 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'ελασσονωγ αλεξανδρος ουδις ελασσονωγ'
Generation 5 | Average Generation Fitness: 0.003243457778097802 | Best Fitness: 0.0033351331243596572 | Population Length: 20| Best DNA: 'ελασσονωγ αλεξανδρος ουδις ελασσονωγ'
Generation 6 | Average Generation Fitness: 0.003333752365767553 | Best Fitness: 0.00837488099749275 | Population Length: 20| Best DNA: 'ιερεος αλεξανδρος ουδις ιερεος'
Generation 7 | Average Generation Fitness: 0.0030413417706141727 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'δυνασθαι αλεξανδρος ουδις δυνασθαι'
Generation 8 | Average Generation Fitness: 0.003151628772654679 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 9 | Average Generation Fitness: 0.0029678171025871686 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'λογου αλεξανδρος ουδις λογου'
Generation 10 | Average Generation Fitness: 0.0030413417706141727 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 11 | Average Generation Fitness: 0.002747243098506156 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'λογου αλεξανδρος ουδις λογου'
Generation 12 | Average Generation Fitness: 0.0030219885750969793 | Best Fitness: 0.00802157862624162 | Population Length: 20| Best DNA: 'ξαιορσαζης αλεξανδρος ουδις ξαιορσαζης'
Generation 13 | Average Generation Fitness: 0.0026369560964656495 | Best Fitness: 0.003261915774695184 | Population Length: 20| Best DNA: 'λογου αλεξανδρος ουδις λογου'
Generation 14 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 15 | Average Generation Fitness: 0.0025266690944251427 | Best Fitness: 0.0025266690944251422 | Population Length: 20| Best DNA: 'σωσιας αλεξανδρος ουδις σωσιας'
Generation 16 | Average Generation Fitness: 0.0025707531634050922 | Best Fitness: 0.0034083504740241312 | Population Length: 20| Best DNA: 'παροδου αλεξανδρος ουδις παροδου'
Generation 17 | Average Generation Fitness: 0.002828810849719956 | Best Fitness: 0.006489028458034011 | Population Length: 20| Best DNA: 'οαισακτεσ αλεξανδρος ουδις οαισακτεσ'
