----------------------------------------------------------------------------------------------------
Execution: 0
Generation 8 | Average Generation Fitness: 0.0032112919468034427 | Best Fitness: 0.004901097080668678 | Population Length: 200| Best DNA: 'πρωτογενους αλεξανδρος ουδις πρωτογενους'
Generation 9 | Average Generation Fitness: 0.003251981315323416 | Best Fitness: 0.0049512573016927824 | Population Length: 200| Best DNA: 'νευμηνιος αλεξανδρος ουδις νευμηνιος'
Generation 10 | Average Generation Fitness: 0.0032520732849233374 | Best Fitness: 0.005818309809631353 | Population Length: 200| Best DNA: 'επαινεσαι αλεξανδρος ουδις επαινεσαι'
Generation 11 | Average Generation Fitness: 0.0032501845162184228 | Best Fitness: 0.005722931396483227 | Population Length: 200| Best DNA: 'σωσιβιου αλεξανδρος ουδις σωσιβιου'
Generation 12 | Average Generation Fitness: 0.003242493850158708 | Best Fitness: 0.005042485437478454 | Population Length: 200| Best DNA: 'ευρησιβιου αλεξανδρος ουδις ευρησιβιου'
Generation 13 | Average Generation Fitness: 0.003236163856233301 | Best Fitness: 0.007872253213073015 | Population Length: 200| Best DNA: 'αθηνα αλεξανδρος ουδις αθηνα'
Generation 14 | Average Generation Fitness: 0.0032179139693480742 | Best Fitness: 0.009901734990944985 | Population Length: 200| Best DNA: 'τους αλεξανδρος ουδις τους'
Generation 15 | Average Generation Fitness: 0.0032422504212884116 | Best Fitness: 0.006681311896042087 | Population Length: 200| Best DNA: 'τετρακοσιων αλεξανδρος ουδις τετρακοσιων'
Generation 16 | Average Generation Fitness: 0.003193241612765522 | Best Fitness: 0.004191439302281738 | Population Length: 200| Best DNA: 'ιδιωταις αλεξανδρος ουδις ιδιωταις'
Generation 17 | Average Generation Fitness: 0.003181298689021561 | Best Fitness: 0.006608094546377615 | Population Length: 200| Best DNA: 'αμφοτερους αλεξανδρος ουδις αμφοτερους'
Generation 18 | Average Generation Fitness: 0.0032455617317460996 | Best Fitness: 0.013711088852667596 | Population Length: 200| Best DNA: 'τχω αλεξανδρος ουδις τχω'
Generation 19 | Average Generation Fitness: 0.003173959949072354 | Best Fitness: 0.005470111393522919 | Population Length: 200| Best DNA: 'γλωσσας αλεξανδρος ουδις γλωσσας'
Generation 20 | Average Generation Fitness: 0.0031320469668465463 | Best Fitness: 0.007790396304571835 | Population Length: 200| Best DNA: 'δειας αλεξανδρος ουδις δειας'
Generation 21 | Average Generation Fitness: 0.003051069783108813 | Best Fitness: 0.00544307763867685 | Population Length: 200| Best DNA: 'λοιπων αλεξανδρος ουδις λοιπων'
Generation 22 | Average Generation Fitness: 0.0029231872863002967 | Best Fitness: 0.00977613280299347 | Population Length: 200| Best DNA: 'κοσσους αλεξανδρος ουδις κοσσους'
Generation 23 | Average Generation Fitness: 0.002775762571601011 | Best Fitness: 0.008352411073784573 | Population Length: 200| Best DNA: 'ομα αλεξανδρος ουδις ομα'
Generation 24 | Average Generation Fitness: 0.002635221633936824 | Best Fitness: 0.005745123075992702 | Population Length: 200| Best DNA: 'ηια αλεξανδρος ουδις ηια'
Generation 25 | Average Generation Fitness: 0.002550482363657498 | Best Fitness: 0.005818829580358705 | Population Length: 200| Best DNA: 'πουρθαιου αλεξανδρος ουδις πουρθαιου'
Generation 26 | Average Generation Fitness: 0.0025993876050995363 | Best Fitness: 0.013016433842219505 | Population Length: 200| Best DNA: 'το αλεξανδρος ουδις το'
Generation 27 | Average Generation Fitness: 0.002550189552487259 | Best Fitness: 0.007230760706851137 | Population Length: 200| Best DNA: 'ηρωι αλεξανδρος ουδις ηρωι'
Generation 28 | Average Generation Fitness: 0.0025405948882116836 | Best Fitness: 0.0053118278517359785 | Population Length: 200| Best DNA: 'νανων αλεξανδρος ουδις νανων'
Generation 29 | Average Generation Fitness: 0.002542704417285496 | Best Fitness: 0.004925269636563906 | Population Length: 200| Best DNA: 'λιμενα αλεξανδρος ουδις λιμενα'
Generation 30 | Average Generation Fitness: 0.002541446644781311 | Best Fitness: 0.004037740146848083 | Population Length: 200| Best DNA: 'ηξειν αλεξανδρος ουδις ηξειν'
Generation 31 | Average Generation Fitness: 0.002570389283853961 | Best Fitness: 0.007230760706851136 | Population Length: 200| Best DNA: 'αρδ αλεξανδρος ουδις αρδ'
Generation 32 | Average Generation Fitness: 0.002540724588113401 | Best Fitness: 0.005337767832079453 | Population Length: 200| Best DNA: 'ειρηνηι αλεξανδρος ουδις ειρηνηι'
Generation 33 | Average Generation Fitness: 0.002564560302528561 | Best Fitness: 0.008390325809387162 | Population Length: 200| Best DNA: 'νουμενιου αλεξανδρος ουδις νουμενιου'
Generation 34 | Average Generation Fitness: 0.0026164632658833425 | Best Fitness: 0.008716525351819366 | Population Length: 200| Best DNA: 'αρδ αλεξανδρος ουδις αρδ'
Generation 35 | Average Generation Fitness: 0.00257266060674615 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'αγοσ αλεξανδρος ουδις αγοσ'
Generation 36 | Average Generation Fitness: 0.0026349296031870978 | Best Fitness: 0.0073360358351841504 | Population Length: 200| Best DNA: 'ον αλεξανδρος ουδις ον'
Generation 37 | Average Generation Fitness: 0.0025352420189537505 | Best Fitness: 0.0042412540001493595 | Population Length: 200| Best DNA: 'τοπον αλεξανδρος ουδις τοπον'
Generation 38 | Average Generation Fitness: 0.0025540501493019428 | Best Fitness: 0.0072676333895178675 | Population Length: 200| Best DNA: 'αυς αλεξανδρος ουδις αυς'
Generation 39 | Average Generation Fitness: 0.002569266628500178 | Best Fitness: 0.007965435332858999 | Population Length: 200| Best DNA: 'εσφραγισαντο αλεξανδρος ουδις εσφραγισαντο'
Generation 40 | Average Generation Fitness: 0.0025392633944781506 | Best Fitness: 0.005045529105029458 | Population Length: 200| Best DNA: 'ζητος αλεξανδρος ουδις ζητος'
Generation 41 | Average Generation Fitness: 0.0025707032800261825 | Best Fitness: 0.009124689772931318 | Population Length: 200| Best DNA: 'χρυσων αλεξανδρος ουδις χρυσων'
Generation 42 | Average Generation Fitness: 0.002543269826906956 | Best Fitness: 0.0051115689105203765 | Population Length: 200| Best DNA: 'χρηματα αλεξανδρος ουδις χρηματα'
Generation 43 | Average Generation Fitness: 0.0025315889039769163 | Best Fitness: 0.003510631004782436 | Population Length: 200| Best DNA: 'ιουλιανος αλεξανδρος ουδις ιουλιανος'
Generation 44 | Average Generation Fitness: 0.0026058568197145477 | Best Fitness: 0.006638110443188109 | Population Length: 200| Best DNA: 'σανδαρζιου αλεξανδρος ουδις σανδαρζιου'
Generation 45 | Average Generation Fitness: 0.002537093995355354 | Best Fitness: 0.0046116492804700124 | Population Length: 200| Best DNA: 'ισχυοντας αλεξανδρος ουδις ισχυοντας'
Generation 46 | Average Generation Fitness: 0.0025266690944251297 | Best Fitness: 0.0025266690944251422 | Population Length: 200| Best DNA: 'πυργον αλεξανδρος ουδις πυργον'
Generation 47 | Average Generation Fitness: 0.0025437462906272414 | Best Fitness: 0.0045417559230774476 | Population Length: 200| Best DNA: 'αιμιλιανος αλεξανδρος ουδις αιμιλιανος'
Generation 48 | Average Generation Fitness: 0.002541893397793092 | Best Fitness: 0.004763065738083102 | Population Length: 200| Best DNA: 'εγκαταλιποντων αλεξανδρος ουδις εγκαταλιποντων'
Generation 49 | Average Generation Fitness: 0.002594516042702028 | Best Fitness: 0.006608094546377615 | Population Length: 200| Best DNA: 'οχυρωματος αλεξανδρος ουδις οχυρωματος'
Generation 50 | Average Generation Fitness: 0.002544560351797923 | Best Fitness: 0.006104920568983688 | Population Length: 200| Best DNA: 'εαυτον αλεξανδρος ουδις εαυτον'
Generation 51 | Average Generation Fitness: 0.002573453570779439 | Best Fitness: 0.0065577619109247354 | Population Length: 200| Best DNA: 'φωκαρια αλεξανδρος ουδις φωκαρια'
------------------------------------------------
Total Generations: 51
Total Population: 200   ---   Mutation Rate: 0.01  ---  Crossover Probability: 0.6
Average Fitness: 0.002573453570779439  ---  Best Overall Fitness: 0.013711088852667596
----------------------------------------------------------------------------------------------------------------------------------------------------
Execution: 2
Generation 001 | Average Generation Fitness: 0.0046914365472038675, | Best Fitness: 0.009501400177468948 | Population Length: 200| Best DNA: 'ηρακλεωτης αλεξανδρος ουδις ηρακλεωτης'
Generation 002 | Average Generation Fitness: 0.003986491061002628, | Best Fitness: 0.005751677776021738 | Population Length: 200| Best DNA: 'κτιστην αλεξανδρος ουδις κτιστην'
Generation 003 | Average Generation Fitness: 0.0036909803006367446, | Best Fitness: 0.00731744808738549 | Population Length: 200| Best DNA: 'χερσονησιτηι αλεξανδρος ουδις χερσονησιτηι'
Generation 004 | Average Generation Fitness: 0.003433777153583855, | Best Fitness: 0.00730397805651561 | Population Length: 200| Best DNA: 'χιλιους αλεξανδρος ουδις χιλιους'
Generation 005 | Average Generation Fitness: 0.0032810213956229067, | Best Fitness: 0.005870090747265677 | Population Length: 200| Best DNA: 'εισηγησαμενον αλεξανδρος ουδις εισηγησαμενον'
Generation 006 | Average Generation Fitness: 0.003234731669025841, | Best Fitness: 0.0073318247824636 | Population Length: 200| Best DNA: 'ποθου αλεξανδρος ουδις ποθου'
Generation 007 | Average Generation Fitness: 0.00329536311972372, | Best Fitness: 0.012892371501483469 | Population Length: 200| Best DNA: 'του αλεξανδρος ουδις του'
Generation 008 | Average Generation Fitness: 0.003385865477930179, | Best Fitness: 0.03246333650331526 | Population Length: 200| Best DNA: 'και αλεξανδρος ουδις και'
